type,nb_photo,prix,code postal,transport/0,transport/1,transport/2,nb_pieces,nb_chambres,surface,lat,lon,url
appartement,9,650000,75011,Richard-Lenoir,Saint-Sébastien - Froissart,Chemin Vert,2,1,54,48.859696,2.369688,/annonces/appartement-paris-11e-75011-r430300608
appartement,6,650000,75008,Liège,Europe,Place de Clichy,2,1,47,48.880307,2.327085,/annonces/appartement-paris-8e-75008-r429500320
appartement,12,650000,75018,Barbès - Rochechouart,Château Rouge,Anvers,2,1,56,48.884905,2.347959,/annonces/appartement-paris-18e-limite-9e-r429900807
appartement,0,650000,75015,Charles Michels,Commerce,Félix Faure,2,1,57,48.845242,2.288901,/annonces/appartement-paris-15e-75015-r430400952
appartement,10,630000,75006,Vavin,Notre-Dame-des-Champs,Raspail,2,1,30,48.842305,2.330878,/annonces/appartement-paris-6e-75006-r430301232
appartement,8,629000,75016,Ranelagh,Jasmin,La Muette,3,,55,48.855558,2.266278,/annonces/appartement-paris-16e-75016-r430400259
appartement,12,610000,75008,Miromesnil,Saint-Augustin,Saint-Philippe du Roule,3,1,50,48.874415,2.315934,/annonces/appartement-paris-8e-r428000363
appartement,11,608000,75019,Télégraphe,Hôpital Robert-Debré,Porte des Lilas,3,2,57,48.875713,2.400213,/annonces/appartement-paris-19e-75019-r430400561
appartement,10,598000,75010,Colonel Fabien,Bolivar,Belleville,2,1,54,48.876077,2.371129,/annonces/appartement-paris-10e-75010-r430100239
appartement,6,595000,75012,Ledru-Rollin,Faidherbe - Chaligny,Faidherbe,3,2,48,48.850536,2.378352,/annonces/appartement-paris-12e-75012-r430400369
appartement,12,575000,75010,Château-Landon,Gare de l'Est (Verdun),Magenta,2,1,48,48.876576,2.362658,/annonces/appartement-paris-10e-r426700660
appartement,5,575000,75012,Ledru-Rollin,Gare de Lyon,Bastille,2,1,59,48.848862,2.372856,/annonces/appartement-paris-12e-75012-r429600033
appartement,14,560000,75019,Crimée,Corentin Cariou,Riquet,3,2,62,48.89208,2.378527,/annonces/appartement-paris-19e-r427900460
studio,13,559000,75005,Saint-Sulpice,Mabillon,Rennes,1,0,37,48.849845,2.332655,/annonces/appartement-paris-5e-r424301094
appartement,10,555000,75015,Pasteur,Volontaires,Sèvres - Lecourbe,3,2,47,48.840571,2.312921,/annonces/appartement-paris-15e-75015-r430400693
appartement,7,550000,75005,,,,2,1,38,48.845501,2.34452,/annonces/appartement-paris-5e-r430400075
appartement,7,549000,75015,Cambronne,Avenue Émile Zola,La Motte-Picquet - Grenelle,2,1,46,48.845631,2.300158,/annonces/appartement-paris-15e-75015-r429901116
appartement,11,540000,75016,Michel-Ange - Auteuil,Jasmin,Église d'Auteuil,2,1,48,48.849969,2.266292,/annonces/appartement-paris-16e-75016-r429800426
appartement,10,540000,75015,Desnouettes,Porte de Versailles (Parc des Expositions de Paris),Lourmel,3,2,54,48.834201,2.28566,/annonces/appartement-paris-15e-75015-r430200093
appartement,8,530000,75009,Notre-Dame-de-Lorette,Le Peletier,Cadet,2,1,46,48.87633,2.339964,/annonces/appartement-paris-9e-r428700891
